"","N","SDiD","SC","TWFE"
"1",10,0.0148518085479736,0.0304760932922363,0.0376989841461182
"2",10,0.00560712814331055,0.00173783302307129,0.0129878520965576
"3",10,0.115799903869629,0.00373196601867676,0.01009202003479
"4",10,0.00491189956665039,0.00339102745056152,0.00998902320861816
"5",10,0.00521111488342285,0.00329303741455078,0.00987005233764648
"6",10,0.0619959831237793,0.0736720561981201,0.0110259056091309
"7",10,0.00733399391174316,0.00333094596862793,0.010483980178833
"8",10,0.0230598449707031,0.207868099212646,0.0105910301208496
"9",10,0.0176370143890381,0.00333690643310547,0.0104749202728271
"10",10,0.160032987594604,0.00463199615478516,0.00989103317260742
"11",10,0.0179979801177979,0.00572514533996582,0.010624885559082
"12",10,0.0339860916137695,0.281188011169434,0.0103921890258789
"13",10,0.0118248462677002,0.185590982437134,0.0104479789733887
"14",10,0.0094451904296875,0.00327420234680176,0.0102288722991943
"15",10,0.0207750797271729,0.00335884094238281,0.0104348659515381
"16",10,0.0184159278869629,0.00554394721984863,0.0102100372314453
"17",10,0.0504028797149658,0.194595098495483,0.00993108749389648
"18",10,0.190409898757935,0.00470304489135742,0.0105187892913818
"19",10,0.00861787796020508,0.00387191772460938,0.0106480121612549
"20",10,0.0226960182189941,0.184200048446655,0.0114638805389404
"21",10,0.00844120979309082,0.00172710418701172,0.0105888843536377
"22",10,0.00839614868164062,0.00354290008544922,0.0108120441436768
"23",10,0.00707697868347168,0.191150903701782,0.0112640857696533
"24",10,0.0502560138702393,0.00399994850158691,0.0106101036071777
"25",10,0.020517110824585,0.00499987602233887,0.0102789402008057
"26",10,0.0224149227142334,0.00183486938476562,0.0100960731506348
"27",10,0.0217421054840088,0.196968078613281,0.0103509426116943
"28",10,0.0194540023803711,0.199288129806519,0.010584831237793
"29",10,0.00486087799072266,0.00139498710632324,0.010322093963623
"30",10,0.0169179439544678,0.0317909717559814,0.0105891227722168
"31",10,0.194703102111816,0.198947906494141,0.0105071067810059
"32",10,0.00990486145019531,0.00636982917785645,0.0107719898223877
"33",10,0.0177199840545654,0.20052695274353,0.0102097988128662
"34",10,0.00919389724731445,0.00181412696838379,0.0119130611419678
"35",10,0.0912308692932129,0.00460195541381836,0.0105831623077393
"36",10,0.0121040344238281,0.00179409980773926,0.0111088752746582
"37",10,0.0371260643005371,0.0176739692687988,0.0129179954528809
"38",10,0.0115900039672852,0.00777101516723633,0.010915994644165
"39",10,0.0169470310211182,0.00190997123718262,0.0164051055908203
"40",10,0.062985897064209,0.21111011505127,0.0109789371490479
"41",10,0.0167310237884521,0.00539803504943848,0.0119760036468506
"42",10,0.0124189853668213,0.0130650997161865,0.0108950138092041
"43",10,0.0183048248291016,0.00768613815307617,0.0108158588409424
"44",10,0.212785005569458,0.00941014289855957,0.0110220909118652
"45",10,0.00770401954650879,0.180736064910889,0.0101249217987061
"46",10,0.051267147064209,0.2013840675354,0.0107078552246094
"47",10,0.0269649028778076,0.0585238933563232,0.0107789039611816
"48",10,0.0214948654174805,0.196407079696655,0.0148189067840576
"49",10,0.0285451412200928,0.00358700752258301,0.0112690925598145
"50",10,0.0876069068908691,0.00249195098876953,0.0106120109558105
"51",10,0.0208559036254883,0.00362515449523926,0.0105381011962891
"52",10,0.00676584243774414,0.00472092628479004,0.0100948810577393
"53",10,0.0104680061340332,0.204962015151978,0.0107169151306152
"54",10,0.138975143432617,0.200048923492432,0.0108230113983154
"55",10,0.0829720497131348,0.0184769630432129,0.0109810829162598
"56",10,0.00894284248352051,0.201819181442261,0.0110411643981934
"57",10,0.0436170101165771,0.209698915481567,0.0105400085449219
"58",10,0.0157239437103271,0.0035700798034668,0.0105760097503662
"59",10,0.00561904907226562,0.00354814529418945,0.01043701171875
"60",10,0.0119290351867676,0.00163698196411133,0.0103461742401123
"61",10,0.119173049926758,0.00337409973144531,0.0105288028717041
"62",10,0.00780701637268066,0.00364017486572266,0.010897159576416
"63",10,0.0243217945098877,0.202985048294067,0.0106709003448486
"64",10,0.00861382484436035,0.00339794158935547,0.0108540058135986
"65",10,0.187155961990356,0.014509916305542,0.010890007019043
"66",10,0.0185120105743408,0.00383520126342773,0.0104610919952393
"67",10,0.045814037322998,0.0210480690002441,0.0111420154571533
"68",10,0.20544695854187,0.00564384460449219,0.0105018615722656
"69",10,0.0228610038757324,0.00382399559020996,0.0141911506652832
"70",10,0.0781898498535156,0.00332808494567871,0.0112240314483643
"71",10,0.0208978652954102,0.00358295440673828,0.0104341506958008
"72",10,0.0140368938446045,0.212162971496582,0.0110518932342529
"73",10,0.0142841339111328,0.199912071228027,0.0108058452606201
"74",10,0.0176198482513428,0.00155210494995117,0.0108771324157715
"75",10,0.0161700248718262,0.00159287452697754,0.0102241039276123
"76",10,0.214601039886475,0.00574588775634766,0.0102469921112061
"77",10,0.00595402717590332,0.00533294677734375,0.0106270313262939
"78",10,0.197824954986572,0.00406503677368164,0.0106990337371826
"79",10,0.0050199031829834,0.00147891044616699,0.0108649730682373
"80",10,0.0269031524658203,0.19756817817688,0.0103189945220947
"81",10,0.00495409965515137,0.00329494476318359,0.00994205474853516
"82",10,0.0187420845031738,0.00879096984863281,0.0102488994598389
"83",10,0.0429689884185791,0.00569391250610352,0.0102019309997559
"84",10,0.012617826461792,0.0227041244506836,0.0106520652770996
"85",10,0.0225570201873779,0.196732997894287,0.0103578567504883
"86",10,0.016772985458374,0.00162696838378906,0.0104138851165771
"87",10,0.0279591083526611,0.00156497955322266,0.00999712944030762
"88",10,0.00640702247619629,0.00147390365600586,0.0101759433746338
"89",10,0.00551605224609375,0.00357389450073242,0.0106029510498047
"90",10,0.0136709213256836,0.206166982650757,0.0104889869689941
"91",10,0.00699901580810547,0.127222061157227,0.0105440616607666
"92",10,0.0936191082000732,0.00355005264282227,0.0103340148925781
"93",10,0.0447721481323242,0.0195930004119873,0.0104620456695557
"94",10,0.0110118389129639,0.0035860538482666,0.0107059478759766
"95",10,0.0281100273132324,0.105792999267578,0.0107879638671875
"96",10,0.0320348739624023,0.0616438388824463,0.0101969242095947
"97",10,0.0128879547119141,0.29221510887146,0.0106608867645264
"98",10,0.0114991664886475,0.184977054595947,0.0108089447021484
"99",10,0.0329399108886719,0.00156092643737793,0.0110800266265869
"100",10,0.0222439765930176,0.178548097610474,0.0106151103973389
"101",50,0.229559183120728,0.0256259441375732,0.0108208656311035
"102",50,0.22351598739624,0.104001045227051,0.0113039016723633
"103",50,0.213165044784546,0.0826809406280518,0.0107851028442383
"104",50,0.232102155685425,0.0383398532867432,0.0200819969177246
"105",50,0.467906951904297,0.234814882278442,0.0103168487548828
"106",50,0.228286027908325,0.0196030139923096,0.0102460384368896
"107",50,0.229372978210449,0.01043701171875,0.0101709365844727
"108",50,0.237154960632324,0.0102860927581787,0.00996804237365723
"109",50,0.255040168762207,0.030289888381958,0.0109021663665771
"110",50,0.228970050811768,0.0157840251922607,0.0116348266601562
"111",50,0.107369899749756,0.227205038070679,0.0106358528137207
"112",50,0.135608911514282,0.225423097610474,0.0180490016937256
"113",50,0.225100994110107,0.015131950378418,0.0103039741516113
"114",50,0.172284126281738,0.23737907409668,0.0103249549865723
"115",50,0.236479997634888,0.230987071990967,0.0177500247955322
"116",50,0.237120151519775,0.0412790775299072,0.0105400085449219
"117",50,0.23926305770874,0.025385856628418,0.0111289024353027
"118",50,0.234653949737549,0.0539119243621826,0.0107541084289551
"119",50,0.238253116607666,0.0139219760894775,0.0112380981445312
"120",50,0.245240926742554,0.142627000808716,0.0115630626678467
"121",50,0.24270486831665,0.0220701694488525,0.0110719203948975
"122",50,0.235875129699707,0.0565190315246582,0.0116219520568848
"123",50,0.226425886154175,0.0147538185119629,0.010261058807373
"124",50,0.234761953353882,0.0133821964263916,0.0110130310058594
"125",50,0.239899158477783,0.0141870975494385,0.011120080947876
"126",50,0.233329772949219,0.0927109718322754,0.0105509757995605
"127",50,0.233216047286987,0.0125610828399658,0.0112929344177246
"128",50,0.235522985458374,0.230199098587036,0.0108649730682373
"129",50,0.247436046600342,0.0123989582061768,0.011167049407959
"130",50,0.172629117965698,0.00783991813659668,0.0101749897003174
"131",50,0.120787143707275,0.0178110599517822,0.0103750228881836
"132",50,0.244722843170166,0.23828911781311,0.0103120803833008
"133",50,0.248404026031494,0.0807168483734131,0.0107438564300537
"134",50,0.207926034927368,0.127859115600586,0.0107450485229492
"135",50,0.200824975967407,0.0157618522644043,0.0103969573974609
"136",50,0.228726148605347,0.234950065612793,0.0109961032867432
"137",50,0.236520051956177,0.22945499420166,0.0115311145782471
"138",50,0.0537669658660889,0.0161609649658203,0.0114068984985352
"139",50,0.245568990707397,0.00956988334655762,0.0110280513763428
"140",50,0.257266998291016,0.018096923828125,0.010113000869751
"141",50,0.246415138244629,0.161902904510498,0.0103669166564941
"142",50,0.235601902008057,0.0197160243988037,0.0116000175476074
"143",50,0.237922191619873,0.0111520290374756,0.0185439586639404
"144",50,0.133611917495728,0.240861892700195,0.00986123085021973
"145",50,0.231698036193848,0.24026894569397,0.0116949081420898
"146",50,0.253021955490112,0.235304117202759,0.0106050968170166
"147",50,0.234597206115723,0.0153830051422119,0.0107569694519043
"148",50,0.246020078659058,0.153164863586426,0.0106110572814941
"149",50,0.251871109008789,0.00869607925415039,0.010591983795166
"150",50,0.237867832183838,0.206380128860474,0.0109000205993652
"151",50,0.252106189727783,0.249203205108643,0.0103850364685059
"152",50,0.256309032440186,0.0482091903686523,0.0116970539093018
"153",50,0.245290994644165,0.0118939876556396,0.011207103729248
"154",50,0.242007970809937,0.105408191680908,0.0125339031219482
"155",50,0.170200109481812,0.252308130264282,0.0105090141296387
"156",50,0.165848016738892,0.0141379833221436,0.0109741687774658
"157",50,0.244202852249146,0.0254011154174805,0.0111379623413086
"158",50,0.248239040374756,0.0137529373168945,0.0105881690979004
"159",50,0.244898080825806,0.0124349594116211,0.01096510887146
"160",50,0.112401962280273,0.016287088394165,0.0105690956115723
"161",50,0.153784990310669,0.24403977394104,0.0108811855316162
"162",50,0.236304044723511,0.0270199775695801,0.0114090442657471
"163",50,0.238462924957275,0.0210409164428711,0.0109219551086426
"164",50,0.234868049621582,0.244645118713379,0.0106310844421387
"165",50,0.180354118347168,0.0227890014648438,0.0121510028839111
"166",50,0.127256155014038,0.0989770889282227,0.0104849338531494
"167",50,0.219020843505859,0.0272340774536133,0.0107300281524658
"168",50,0.148236036300659,0.0134329795837402,0.0188848972320557
"169",50,0.237733125686646,0.249825954437256,0.0115189552307129
"170",50,0.268538951873779,0.23790717124939,0.0105149745941162
"171",50,0.232480049133301,0.23194408416748,0.0112719535827637
"172",50,0.238539218902588,0.226282835006714,0.0109150409698486
"173",50,0.236203908920288,0.0200748443603516,0.0106370449066162
"174",50,0.232426881790161,0.0181550979614258,0.0104188919067383
"175",50,0.241332054138184,0.025291919708252,0.0110588073730469
"176",50,0.241925001144409,0.244417905807495,0.0106730461120605
"177",50,0.228042125701904,0.0203449726104736,0.0114560127258301
"178",50,0.22615385055542,0.156044006347656,0.0104479789733887
"179",50,0.231997966766357,0.0263350009918213,0.0120339393615723
"180",50,0.155783891677856,0.252056121826172,0.0111420154571533
"181",50,0.238240003585815,0.0116121768951416,0.0191929340362549
"182",50,0.160997867584229,0.244929075241089,0.0103001594543457
"183",50,0.232969045639038,0.0124340057373047,0.0111901760101318
"184",50,0.236611127853394,0.0738749504089355,0.0109238624572754
"185",50,0.229907989501953,0.0186290740966797,0.0189430713653564
"186",50,0.229712009429932,0.229490995407104,0.0110809803009033
"187",50,0.230829954147339,0.223628044128418,0.0108880996704102
"188",50,0.233304977416992,0.153359889984131,0.010498046875
"189",50,0.210541009902954,0.0190529823303223,0.0107381343841553
"190",50,0.235145807266235,0.235874891281128,0.0111851692199707
"191",50,0.198471069335938,0.0148110389709473,0.011829137802124
"192",50,0.231435060501099,0.234580993652344,0.0115258693695068
"193",50,0.255566120147705,0.054224967956543,0.0112171173095703
"194",50,0.236726045608521,0.014915943145752,0.0110640525817871
"195",50,0.238443851470947,0.109411001205444,0.0105850696563721
"196",50,0.233441114425659,0.231204032897949,0.011340856552124
"197",50,0.151556968688965,0.22060489654541,0.0114970207214355
"198",50,0.146603107452393,0.234347105026245,0.0105359554290771
"199",50,0.222499847412109,0.229150056838989,0.0112299919128418
"200",50,0.232357978820801,0.0293691158294678,0.0114710330963135
"201",100,0.344528198242188,0.0235011577606201,0.0104649066925049
"202",100,0.260478019714355,0.0120339393615723,0.01031494140625
"203",100,0.256197929382324,0.0239980220794678,0.0109720230102539
"204",100,0.253361940383911,0.0106909275054932,0.00994586944580078
"205",100,0.251811981201172,0.0218589305877686,0.00958609580993652
"206",100,0.257606029510498,0.0130560398101807,0.0104310512542725
"207",100,0.258237838745117,0.0113351345062256,0.0109009742736816
"208",100,0.252166986465454,0.0213859081268311,0.011012077331543
"209",100,0.25248384475708,0.0140800476074219,0.0193960666656494
"210",100,0.262537956237793,0.0121719837188721,0.0113608837127686
"211",100,0.26897406578064,0.0136821269989014,0.0112040042877197
"212",100,0.125216960906982,0.0092010498046875,0.0102109909057617
"213",100,0.184081077575684,0.0101931095123291,0.0107088088989258
"214",100,0.260112047195435,0.0114221572875977,0.0103299617767334
"215",100,0.261029005050659,0.0255069732666016,0.0105478763580322
"216",100,0.262573003768921,0.0111770629882812,0.0173649787902832
"217",100,0.256902933120728,0.0115790367126465,0.0107378959655762
"218",100,0.262209892272949,0.015056848526001,0.0113320350646973
"219",100,0.267699003219604,0.0136911869049072,0.010793924331665
"220",100,0.266641855239868,0.0115010738372803,0.0102598667144775
"221",100,0.274210929870605,0.00960803031921387,0.0114519596099854
"222",100,0.267148971557617,0.0122408866882324,0.0121610164642334
"223",100,0.269489049911499,0.0119280815124512,0.0105419158935547
"224",100,0.263622045516968,0.0110161304473877,0.0100810527801514
"225",100,0.258316993713379,0.0220088958740234,0.0112309455871582
"226",100,0.25263500213623,0.0118288993835449,0.0187749862670898
"227",100,0.26158595085144,0.0109679698944092,0.0110671520233154
"228",100,0.260525941848755,0.0127778053283691,0.0106430053710938
"229",100,0.320795059204102,0.0112431049346924,0.0100159645080566
"230",100,0.258951902389526,0.0181210041046143,0.0104060173034668
"231",100,0.259273052215576,0.0171089172363281,0.0183119773864746
"232",100,0.262932777404785,0.0188331604003906,0.0106081962585449
"233",100,0.266117095947266,0.0391159057617188,0.0108320713043213
"234",100,0.254304885864258,0.0388660430908203,0.0107560157775879
"235",100,0.27357292175293,0.210853815078735,0.0110609531402588
"236",100,0.265243053436279,0.0238680839538574,0.0105319023132324
"237",100,0.249993085861206,0.0416078567504883,0.011505126953125
"238",100,0.258326053619385,0.0192840099334717,0.0100741386413574
"239",100,0.256373882293701,0.0155990123748779,0.0180151462554932
"240",100,0.25583815574646,0.0125730037689209,0.0103909969329834
"241",100,0.269965887069702,0.0144100189208984,0.0112628936767578
"242",100,0.284861087799072,0.0142040252685547,0.0110039710998535
"243",100,0.280602216720581,0.013617992401123,0.0117321014404297
"244",100,0.402919054031372,0.0115950107574463,0.0110931396484375
"245",100,0.278229951858521,0.0166020393371582,0.0126070976257324
"246",100,0.280747890472412,0.0135090351104736,0.0104520320892334
"247",100,0.259733915328979,0.0129599571228027,0.0121390819549561
"248",100,0.257370948791504,0.0242130756378174,0.010822057723999
"249",100,0.253159999847412,0.0292961597442627,0.0105111598968506
"250",100,0.256036996841431,0.00992584228515625,0.0182359218597412
"251",100,0.256548881530762,0.0204041004180908,0.0181360244750977
"252",100,0.262317895889282,0.0114860534667969,0.0105040073394775
"253",100,0.272193908691406,0.0111961364746094,0.0110759735107422
"254",100,0.271527051925659,0.0254840850830078,0.0110220909118652
"255",100,0.277824878692627,0.0194761753082275,0.011038064956665
"256",100,0.277155160903931,0.00972914695739746,0.0111761093139648
"257",100,0.269556999206543,0.0189731121063232,0.0105481147766113
"258",100,0.266788005828857,0.0269351005554199,0.0108909606933594
"259",100,0.2654709815979,0.0120210647583008,0.0112237930297852
"260",100,0.263325214385986,0.0121669769287109,0.0104858875274658
"261",100,0.260892868041992,0.0284919738769531,0.0106210708618164
"262",100,0.285544157028198,0.0189058780670166,0.0117170810699463
"263",100,0.276445865631104,0.0116260051727295,0.0100841522216797
"264",100,0.226292133331299,0.0203638076782227,0.0108270645141602
"265",100,0.258369922637939,0.020550012588501,0.0106191635131836
"266",100,0.256705045700073,0.0100970268249512,0.0113339424133301
"267",100,0.262148141860962,0.0128531455993652,0.0113370418548584
"268",100,0.265793085098267,0.0128719806671143,0.0101401805877686
"269",100,0.279343128204346,0.0122640132904053,0.0109360218048096
"270",100,0.2796630859375,0.00902295112609863,0.0108199119567871
"271",100,0.274656057357788,0.0102419853210449,0.0106260776519775
"272",100,0.272024154663086,0.0126240253448486,0.0109260082244873
"273",100,0.262025117874146,0.0269670486450195,0.0108280181884766
"274",100,0.27314305305481,0.0206198692321777,0.01065993309021
"275",100,0.266968965530396,0.0126199722290039,0.0103721618652344
"276",100,0.272687911987305,0.0120677947998047,0.0111539363861084
"277",100,0.27802300453186,0.0148580074310303,0.0105929374694824
"278",100,0.28828501701355,0.0127201080322266,0.0105879306793213
"279",100,0.18559193611145,0.0116679668426514,0.0109820365905762
"280",100,0.277014017105103,0.0745689868927002,0.0108308792114258
"281",100,0.269901990890503,0.00995707511901855,0.0101311206817627
"282",100,0.269706964492798,0.0202610492706299,0.0104539394378662
"283",100,0.270014047622681,0.0120530128479004,0.0117127895355225
"284",100,0.273733139038086,0.0125820636749268,0.0114030838012695
"285",100,0.27033519744873,0.0154769420623779,0.0104970932006836
"286",100,0.271636962890625,0.0126490592956543,0.0104358196258545
"287",100,0.365470886230469,0.0229940414428711,0.0110390186309814
"288",100,0.256097078323364,0.0132369995117188,0.0105249881744385
"289",100,0.261146068572998,0.0104868412017822,0.0106229782104492
"290",100,0.26675009727478,0.0102288722991943,0.0107269287109375
"291",100,0.259581089019775,0.0159218311309814,0.0107219219207764
"292",100,0.25591516494751,0.0234780311584473,0.0108640193939209
"293",100,0.251198053359985,0.0107109546661377,0.0176060199737549
"294",100,0.262976169586182,0.0147411823272705,0.0111122131347656
"295",100,0.27583909034729,0.0174629688262939,0.0176870822906494
"296",100,0.518112897872925,0.010206937789917,0.0110299587249756
"297",100,0.275223970413208,0.0142848491668701,0.0108811855316162
"298",100,0.27020001411438,0.0132770538330078,0.010300874710083
"299",100,0.269612073898315,0.0144679546356201,0.0105390548706055
"300",100,0.276409864425659,0.0158381462097168,0.0106601715087891
"301",250,0.366199016571045,0.0350630283355713,0.0101180076599121
"302",250,0.355436086654663,0.0283989906311035,0.0109820365905762
"303",250,0.354912042617798,0.0315549373626709,0.0105528831481934
"304",250,0.355393886566162,0.0325980186462402,0.0109329223632812
"305",250,0.362848997116089,0.0224771499633789,0.0199251174926758
"306",250,0.360360145568848,0.0197558403015137,0.0113508701324463
"307",250,0.379952907562256,0.0203258991241455,0.0230710506439209
"308",250,0.362675905227661,0.024151086807251,0.0200588703155518
"309",250,0.360405921936035,0.0209729671478271,0.0113668441772461
"310",250,0.363112926483154,0.0189299583435059,0.0116550922393799
"311",250,0.370340824127197,0.023029088973999,0.0108931064605713
"312",250,0.367883920669556,0.0235610008239746,0.0108280181884766
"313",250,0.376116037368774,0.0243308544158936,0.0114009380340576
"314",250,0.372787952423096,0.0195510387420654,0.0118551254272461
"315",250,0.404103994369507,0.0224878787994385,0.010890007019043
"316",250,0.381985902786255,0.0189511775970459,0.0110459327697754
"317",250,0.379644870758057,0.0202841758728027,0.0114719867706299
"318",250,0.370109081268311,0.0205638408660889,0.0113821029663086
"319",250,0.378139019012451,0.0198729038238525,0.0110108852386475
"320",250,0.379729986190796,0.0238230228424072,0.0120429992675781
"321",250,0.37865686416626,0.0189480781555176,0.0111291408538818
"322",250,0.373240947723389,0.0215280055999756,0.0108129978179932
"323",250,0.370582103729248,0.0190889835357666,0.0102429389953613
"324",250,0.380102872848511,0.0199549198150635,0.01043701171875
"325",250,0.375372886657715,0.0182671546936035,0.0108997821807861
"326",250,0.375882863998413,0.0243949890136719,0.010638952255249
"327",250,0.37004280090332,0.0178828239440918,0.0114188194274902
"328",250,0.37108588218689,0.0241050720214844,0.010530948638916
"329",250,0.458250999450684,0.0191988945007324,0.010221004486084
"330",250,0.374879837036133,0.0227129459381104,0.0103278160095215
"331",250,0.357565879821777,0.0286741256713867,0.0110108852386475
"332",250,0.35676097869873,0.0288350582122803,0.0118269920349121
"333",250,0.349941968917847,0.0276479721069336,0.0103888511657715
"334",250,0.35394811630249,0.0211460590362549,0.0201618671417236
"335",250,0.35994291305542,0.0209529399871826,0.0106408596038818
"336",250,0.388530969619751,0.0257492065429688,0.0125689506530762
"337",250,0.386797189712524,0.0204291343688965,0.0114798545837402
"338",250,0.395396947860718,0.025723934173584,0.0109868049621582
"339",250,0.364416122436523,0.0206868648529053,0.0112590789794922
"340",250,0.375750064849854,0.0184321403503418,0.0108890533447266
"341",250,0.358411073684692,0.0206480026245117,0.0107948780059814
"342",250,0.372216939926147,0.0258340835571289,0.0110161304473877
"343",250,0.371806859970093,0.0197310447692871,0.0108959674835205
"344",250,0.380501985549927,0.0202898979187012,0.0120959281921387
"345",250,0.36880898475647,0.0184140205383301,0.0111398696899414
"346",250,0.361920118331909,0.0214459896087646,0.0112738609313965
"347",250,0.387367963790894,0.0206010341644287,0.0107600688934326
"348",250,0.360667943954468,0.0228481292724609,0.0110321044921875
